,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_self,gamma0_self_err,gamma0_self_vary,n_gamma0_self,delta0_self,delta0_self_err,delta0_self_vary,n_delta0_self,nuVC_self,nuVC_self_err,nuVC_self_vary,n_nuVC_self,SD_gamma_self,SD_gamma_self_err,SD_gamma_self_vary,n_gamma2_self,SD_delta_self,SD_delta_self_err,SD_delta_self_vary,n_delta2_self,eta_self,eta_self_err,eta_self_vary,y_self,y_self_err,y_self_vary,n_y_self
0,2,1,1159.3702,9504.583707,0.0,False,3.96,0.0,False,1.0000000000000001e-29,0.084,0.0,False,0.61,-0.011644,0.0,False,0,0,0.0,False,1,0.13,0.0,False,0.61,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
1,2,3,463.724,9505.389519,0.0,False,1.39,0.0,False,1.0000000000000001e-29,0.084,0.0,False,0.61,-0.012477,0.0,False,0,0,0.0,False,1,0.13,0.0,False,0.61,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
2,2,1,1216.3508,9505.440331,0.0,False,3.1600000000000006,0.0,False,1.0000000000000001e-29,0.082,0.0,False,0.6,-0.011866,0.0,False,0,0,0.0,False,1,0.133333333,0.0,False,0.6,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
3,2,1,2370.8223,9505.706359,0.0,False,0.115,0.0,False,1.0000000000000001e-29,0.112,0.0,False,0.7,-0.007973,0.0,False,0,0,0.0,False,1,0.1,0.0,False,0.7,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
4,2,1,1990.108,9505.960025,0.0,False,1.2900000000000005,0.0,False,1.0000000000000001e-29,0.079,0.0,False,0.59,-0.013365,0.0,False,0,0,0.0,False,1,0.136666667,0.0,False,0.59,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
5,2,1,1276.4474,9512.425676520941,1333565609.7400115,True,2807.5746870239454,690871328.8408252,True,1.0000000000000001e-29,1090.8044821532983,198457064.76087213,True,0.59,-2570.5704494749693,476151219.2079645,True,0,0,0.0,False,1,0.1743990899840876,183536.74572485988,True,0.59,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
6,2,1,60.8709,9506.300519759203,8.439762574038624e-05,True,8862.041252787765,31.76514350039399,True,1.0000000000000001e-29,0.10407015928601304,0.0006870287992904288,True,0.69,-0.014156399428934196,0.0004181196852766134,True,0,0,0.0,False,1,0.06736894083994585,0.01633546689607093,True,0.69,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
7,2,3,437.9715,9506.656186,0.0,False,1.5400000000000005,0.0,False,1.0000000000000001e-29,0.085,0.0,False,0.61,-0.012347,0.0,False,0,0,0.0,False,1,0.13,0.0,False,0.61,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
8,2,1,1339.6591,9507.070876,0.0,False,1.8800000000000003,0.0,False,1.0000000000000001e-29,0.079,0.0,False,0.59,-0.012265,0.0,False,0,0,0.0,False,1,0.136666667,0.0,False,0.59,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
9,2,1,1405.9845,9507.828743,0.0,False,1.41,0.0,False,1.0000000000000001e-29,0.077,0.0,False,0.58,-0.012442,0.0,False,0,0,0.0,False,1,0.14,0.0,False,0.58,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
10,2,3,412.9536,9507.907607,0.0,False,1.7000000000000002,0.0,False,1.0000000000000001e-29,0.086,0.0,False,0.62,-0.012216,0.0,False,0,0,0.0,False,1,0.126666667,0.0,False,0.62,0,0.0,False,0,0,0.0,False,0.0,0.0,False,1
