Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr
365,9506.4502,,,-2.35689e-08,,,,-23568.899999999998,,27.85,75.0062
366,9506.4512,,,-2.51542e-08,,,,-25154.2,,27.85,75.0062
367,9506.4522,,,-2.64185e-08,,,,-26418.5,,27.85,75.0062
368,9506.4532,,,-2.73114e-08,,,,-27311.4,,27.85,75.0062
369,9506.4542,,,-2.77825e-08,,,,-27782.5,,27.85,75.0062
370,9506.4552,,,-2.77814e-08,,,,-27781.4,,27.85,75.0062
371,9506.4562,,,-2.72899e-08,,,,-27289.899999999998,,27.85,75.0062
372,9506.4572,,,-2.63837e-08,,,,-26383.7,,27.85,75.0062
373,9506.4582,,,-2.51553e-08,,,,-25155.3,,27.85,75.0062
374,9506.4592,,,-2.3697e-08,,,,-23697.0,,27.85,75.0062
375,9506.4602,,,-2.21014e-08,,,,-22101.399999999998,,27.85,75.0062
376,9506.4612,,,-2.04613e-08,,,,-20461.3,,27.85,75.0062
377,9506.46221,,,-1.88698e-08,,,,-18869.8,,27.85,75.0062
378,9506.46321,,,-1.74203e-08,,,,-17420.3,,27.85,75.0062
379,9506.46421,,,-1.62062e-08,,,,-16206.2,,27.85,75.0062
380,9506.46521,,,-1.53181e-08,,,,-15318.1,,27.85,75.0062
381,9506.46621,,,-1.47708e-08,,,,-14770.8,,27.85,75.0062
382,9506.46721,,,-1.45003e-08,,,,-14500.300000000001,,27.85,75.0062
383,9506.46821,,,-1.44407e-08,,,,-14440.7,,27.85,75.0062
384,9506.46921,,,-1.45279e-08,,,,-14527.900000000001,,27.85,75.0062
385,9506.47021,,,-1.46976e-08,,,,-14697.6,,27.85,75.0062
386,9506.47121,,,-1.48856e-08,,,,-14885.6,,27.85,75.0062
387,9506.47221,,,-1.50278e-08,,,,-15027.8,,27.85,75.0062
388,9506.47321,,,-1.50601e-08,,,,-15060.099999999999,,27.85,75.0062
389,9506.47421,,,-1.49184e-08,,,,-14918.4,,27.85,75.0062
390,9506.47521,,,-1.45392e-08,,,,-14539.199999999999,,27.85,75.0062
391,9506.47621,,,-1.39037e-08,,,,-13903.7,,27.85,75.0062
392,9506.47721,,,-1.30724e-08,,,,-13072.4,,27.85,75.0062
393,9506.47821,,,-1.21143e-08,,,,-12114.3,,27.85,75.0062
394,9506.47922,,,-1.10978e-08,,,,-11097.800000000001,,27.85,75.0062
395,9506.48022,,,-1.00885e-08,,,,-10088.5,,27.85,75.0062
396,9506.48122,,,-9.15173e-09,,,,-9151.73,,27.85,75.0062
397,9506.48222,,,-8.35266e-09,,,,-8352.66,,27.85,75.0062
398,9506.48322,,,-7.75663e-09,,,,-7756.630000000001,,27.85,75.0062
399,9506.48422,,,-7.42895e-09,,,,-7428.95,,27.85,75.0062
400,9506.48522,,,-7.42647e-09,,,,-7426.47,,27.85,75.0062
401,9506.48622,,,-7.74729e-09,,,,-7747.29,,27.85,75.0062
402,9506.48722,,,-8.36443e-09,,,,-8364.43,,27.85,75.0062
403,9506.48822,,,-9.2507e-09,,,,-9250.7,,27.85,75.0062
404,9506.48922,,,-1.03789e-08,,,,-10378.9,,27.85,75.0062
405,9506.49022,,,-1.17218e-08,,,,-11721.8,,27.85,75.0062
406,9506.49122,,,-1.3252e-08,,,,-13252.0,,27.85,75.0062
407,9506.49222,,,-1.49433e-08,,,,-14943.3,,27.85,75.0062
408,9506.49322,,,-1.67742e-08,,,,-16774.2,,27.85,75.0062
409,9506.49422,,,-1.87256e-08,,,,-18725.6,,27.85,75.0062
410,9506.49523,,,-2.07738e-08,,,,-20773.8,,27.85,75.0062
411,9506.49623,,,-2.28764e-08,,,,-22876.4,,27.85,75.0062
412,9506.49723,,,-2.49865e-08,,,,-24986.5,,27.85,75.0062
413,9506.49823,,,-2.70569e-08,,,,-27056.9,,27.85,75.0062
414,9506.49923,,,-2.90412e-08,,,,-29041.2,,27.85,75.0062
415,9506.50023,,,-3.08927e-08,,,,-30892.7,,27.85,75.0062
416,9506.50123,,,-3.25652e-08,,,,-32565.199999999997,,27.85,75.0062
417,9506.50223,,,-3.40124e-08,,,,-34012.4,,27.85,75.0062
418,9506.50323,,,-3.5188e-08,,,,-35188.0,,27.85,75.0062
419,9506.50423,,,-3.60458e-08,,,,-36045.8,,27.85,75.0062
420,9506.50523,,,-3.65405e-08,,,,-36540.5,,27.85,75.0062
421,9506.50623,,,-3.66724e-08,,,,-36672.4,,27.85,75.0062
422,9506.50723,,,-3.64938e-08,,,,-36493.799999999996,,27.85,75.0062
423,9506.50823,,,-3.60594e-08,,,,-36059.4,,27.85,75.0062
424,9506.50923,,,-3.54237e-08,,,,-35423.7,,27.85,75.0062
425,9506.51023,,,-3.46415e-08,,,,-34641.5,,27.85,75.0062
426,9506.51123,,,-3.37679e-08,,,,-33767.9,,27.85,75.0062
427,9506.51224,,,-3.28579e-08,,,,-32857.899999999994,,27.85,75.0062
428,9506.51324,,,-3.1967e-08,,,,-31966.999999999996,,27.85,75.0062
429,9506.51424,,,-3.11506e-08,,,,-31150.6,,27.85,75.0062
430,9506.51524,,,-3.04637e-08,,,,-30463.699999999997,,27.85,75.0062
431,9506.51624,,,-2.99115e-08,,,,-29911.500000000004,,27.85,75.0062
432,9506.51724,,,-2.94181e-08,,,,-29418.100000000002,,27.85,75.0062
433,9506.51824,,,-2.89112e-08,,,,-28911.2,,27.85,75.0062
434,9506.51924,,,-2.83581e-08,,,,-28358.1,,27.85,75.0062
435,9506.52024,,,-2.77353e-08,,,,-27735.3,,27.85,75.0062
436,9506.52124,,,-2.70191e-08,,,,-27019.100000000002,,27.85,75.0062
437,9506.52224,,,-2.61858e-08,,,,-26185.8,,27.85,75.0062
438,9506.52324,,,-2.52117e-08,,,,-25211.7,,27.85,75.0062
439,9506.52424,,,-2.40732e-08,,,,-24073.2,,27.85,75.0062
440,9506.52524,,,-2.27467e-08,,,,-22746.699999999997,,27.85,75.0062
441,9506.52624,,,-2.1238e-08,,,,-21238.0,,27.85,75.0062
442,9506.52724,,,-1.96097e-08,,,,-19609.699999999997,,27.85,75.0062
443,9506.52824,,,-1.79307e-08,,,,-17930.7,,27.85,75.0062
444,9506.52925,,,-1.62689e-08,,,,-16268.9,,27.85,75.0062
445,9506.53025,,,-1.4672e-08,,,,-14672.0,,27.85,75.0062
446,9506.53125,,,-1.31706e-08,,,,-13170.6,,27.85,75.0062
447,9506.53225,,,-1.17945e-08,,,,-11794.5,,27.85,75.0062
448,9506.53325,,,-1.05737e-08,,,,-10573.699999999999,,27.85,75.0062
449,9506.53425,,,-9.53821e-09,,,,-9538.21,,27.85,75.0062
450,9506.53525,,,-8.71823e-09,,,,-8718.23,,27.85,75.0062
451,9506.53625,,,-8.14175e-09,,,,-8141.750000000001,,27.85,75.0062
452,9506.53725,,,-7.81646e-09,,,,-7816.46,,27.85,75.0062
453,9506.53825,,,-7.73904e-09,,,,-7739.04,,27.85,75.0062
454,9506.53925,,,-7.90596e-09,,,,-7905.96,,27.85,75.0062
455,9506.54025,,,-8.31372e-09,,,,-8313.72,,27.85,75.0062
456,9506.54125,,,-8.95872e-09,,,,-8958.72,,27.85,75.0062
457,9506.54225,,,-9.83734e-09,,,,-9837.34,,27.85,75.0062
458,9506.54325,,,-1.09459e-08,,,,-10945.9,,27.85,75.0062
459,9506.54425,,,-1.22807e-08,,,,-12280.699999999999,,27.85,75.0062
460,9506.54525,,,-1.3838e-08,,,,-13838.0,,27.85,75.0062
461,9506.54626,,,-1.56082e-08,,,,-15608.2,,27.85,75.0062
462,9506.54726,,,-1.7547e-08,,,,-17547.0,,27.85,75.0062
463,9506.54826,,,-1.95968e-08,,,,-19596.8,,27.85,75.0062
464,9506.54926,,,-2.17001e-08,,,,-21700.100000000002,,27.85,75.0062
465,9506.55026,,,-2.37995e-08,,,,-23799.5,,27.85,75.0062
466,9506.55126,,,-2.58378e-08,,,,-25837.8,,27.85,75.0062
467,9506.55226,,,-2.77581e-08,,,,-27758.100000000002,,27.85,75.0062
468,9506.55326,,,-2.95035e-08,,,,-29503.5,,27.85,75.0062
469,9506.55426,,,-3.10171e-08,,,,-31017.1,,27.85,75.0062
470,9506.55526,,,-3.22424e-08,,,,-32242.4,,27.85,75.0062
471,9506.55626,,,-3.31282e-08,,,,-33128.200000000004,,27.85,75.0062
472,9506.55726,,,-3.367e-08,,,,-33670.0,,27.85,75.0062
473,9506.55826,,,-3.38864e-08,,,,-33886.4,,27.85,75.0062
474,9506.55926,,,-3.37961e-08,,,,-33796.1,,27.85,75.0062
475,9506.56026,,,-3.34189e-08,,,,-33418.899999999994,,27.85,75.0062
476,9506.56126,,,-3.27838e-08,,,,-32783.8,,27.85,75.0062
477,9506.56227,,,-3.19239e-08,,,,-31923.9,,27.85,75.0062
478,9506.56327,,,-3.08721e-08,,,,-30872.1,,27.85,75.0062
479,9506.56427,,,-2.96614e-08,,,,-29661.399999999998,,27.85,75.0062
480,9506.56527,,,-2.83249e-08,,,,-28324.899999999998,,27.85,75.0062
481,9506.56627,,,-2.68957e-08,,,,-26895.699999999997,,27.85,75.0062
482,9506.56727,,,-2.54062e-08,,,,-25406.2,,27.85,75.0062
483,9506.56827,,,-2.38873e-08,,,,-23887.3,,27.85,75.0062
484,9506.56927,,,-2.23702e-08,,,,-22370.199999999997,,27.85,75.0062
485,9506.57027,,,-2.08856e-08,,,,-20885.600000000002,,27.85,75.0062
486,9506.57127,,,-1.94599e-08,,,,-19459.9,,27.85,75.0062
487,9506.57227,,,-1.81136e-08,,,,-18113.600000000002,,27.85,75.0062
488,9506.57327,,,-1.68666e-08,,,,-16866.6,,27.85,75.0062
489,9506.57427,,,-1.57389e-08,,,,-15738.900000000001,,27.85,75.0062
490,9506.57527,,,-1.47505e-08,,,,-14750.5,,27.85,75.0062
491,9506.57627,,,-1.39215e-08,,,,-13921.5,,27.85,75.0062
492,9506.57727,,,-1.32699e-08,,,,-13269.9,,27.85,75.0062
493,9506.57827,,,-1.27898e-08,,,,-12789.8,,27.85,75.0062
494,9506.57928,,,-1.24609e-08,,,,-12460.9,,27.85,75.0062
495,9506.58028,,,-1.22627e-08,,,,-12262.7,,27.85,75.0062
496,9506.58128,,,-1.21772e-08,,,,-12177.199999999999,,27.85,75.0062
497,9506.58228,,,-1.21934e-08,,,,-12193.4,,27.85,75.0062
498,9506.58328,,,-1.23013e-08,,,,-12301.3,,27.85,75.0062
499,9506.58428,,,-1.2491e-08,,,,-12491.0,,27.85,75.0062
500,9506.58528,,,-1.27528e-08,,,,-12752.8,,27.85,75.0062
501,9506.58628,,,-1.30766e-08,,,,-13076.6,,27.85,75.0062
502,9506.58728,,,-1.34527e-08,,,,-13452.7,,27.85,75.0062
