Spectrum Number,Segment Number,Pressure,Pressure_err,Pressure_vary,Temperature,Temperature_err,Temperature_vary,x_shift,x_shift_err,x_shift_vary,molefraction_CO2,molefraction_CO2_err,molefraction_CO2_vary,baseline_a,baseline_a_err,baseline_a_vary,baseline_b,baseline_b_err,baseline_b_vary
1,1,0.04934618421052633,0.0,False,301.0,0.0,False,0.0,0.0,False,1,0.0,False,0.0,0.0,True,0.0,0.0,True
2,1,0.09869236842105265,0.0,False,301.0,0.0,False,0.0,0.0,False,1,0.0,False,0.0,0.0,True,0.0,0.0,True
3,1,0.1973847368421053,0.0,False,301.0,0.0,False,0.0,0.0,False,1,0.0,False,0.0,0.0,True,0.0,0.0,True
4,1,0.3947694736842106,0.0,False,301.0,0.0,False,0.0,0.0,False,1,0.0,False,0.0,0.0,True,0.0,0.0,True
