Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9506.0575,,,-5.15E-09,,1.00E+12,1.00E+08,-5151.36,-0.515136,27.85,37.5031,1.00E+06,-0.00515
1,9506.0585,,,1.37E-09,,,,1374.83,0.137483,27.85,37.5031,,0.00137
2,9506.0595,,,6.82E-09,,,,6822.13,0.682213,27.85,37.5031,,0.00682
3,9506.0605,,,1.01E-08,,,,10073.6,1.00736,27.85,37.5031,,0.0101
4,9506.0615,,,1.00E-08,,,,10014.4,1.00144,27.85,37.5031,,0.01
5,9506.06251,,,6.45E-09,,,,6446.89,0.644689,27.85,37.5031,,0.00645
6,9506.06351,,,1.18E-09,,,,1180.89,0.118089,27.85,37.5031,,0.00118
7,9506.06451,,,-3.72E-09,,,,-3717.76,-0.371776,27.85,37.5031,,-0.00372
8,9506.06551,,,-6.21E-09,,,,-6211.13,-0.621113,27.85,37.5031,,-0.00621
9,9506.06651,,,-5.48E-09,,,,-5484.58,-0.548458,27.85,37.5031,,-0.00548
10,9506.06751,,,-2.75E-09,,,,-2751.73,-0.275173,27.85,37.5031,,-0.00275
11,9506.06851,,,5.83E-10,,,,582.845,0.0582845,27.85,37.5031,,0.000583
12,9506.06951,,,3.13E-09,,,,3133.3,0.31333,27.85,37.5031,,0.00313
13,9506.07051,,,4.14E-09,,,,4144.89,0.414489,27.85,37.5031,,0.00414
14,9506.07151,,,3.52E-09,,,,3515.55,0.351555,27.85,37.5031,,0.00352
15,9506.07252,,,1.18E-09,,,,1176.85,0.117685,27.85,37.5031,,0.00118
16,9506.07352,,,-2.92E-09,,,,-2916.37,-0.291637,27.85,37.5031,,-0.00292
17,9506.07452,,,-8.08E-09,,,,-8079.45,-0.807945,27.85,37.5031,,-0.00808
18,9506.07552,,,-1.27E-08,,,,-12695.1,-1.26951,27.85,37.5031,,-0.0127
19,9506.07652,,,-1.51E-08,,,,-15100.5,-1.51005,27.85,37.5031,,-0.0151
20,9506.07752,,,-1.37E-08,,,,-13713.6,-1.37136,27.85,37.5031,,-0.0137
21,9506.07852,,,-8.71E-09,,,,-8711.72,-0.871172,27.85,37.5031,,-0.00871
22,9506.07952,,,-2.04E-09,,,,-2038.48,-0.203848,27.85,37.5031,,-0.00204
23,9506.08052,,,4.27E-09,,,,4268.57,0.426857,27.85,37.5031,,0.00427
24,9506.08152,,,8.25E-09,,,,8251.87,0.825187,27.85,37.5031,,0.00825
25,9506.08253,,,9.41E-09,,,,9409.61,0.940961,27.85,37.5031,,0.00941
26,9506.08353,,,8.34E-09,,,,8337,0.8337,27.85,37.5031,,0.00834
27,9506.08453,,,5.67E-09,,,,5673.36,0.567336,27.85,37.5031,,0.00567
28,9506.08553,,,2.07E-09,,,,2072.81,0.207281,27.85,37.5031,,0.00207
29,9506.08653,,,-1.64E-09,,,,-1637.87,-0.163787,27.85,37.5031,,-0.00164
30,9506.08753,,,-4.46E-09,,,,-4461.78,-0.446178,27.85,37.5031,,-0.00446
31,9506.08853,,,-5.40E-09,,,,-5399.04,-0.539904,27.85,37.5031,,-0.0054
32,9506.08953,,,-3.49E-09,,,,-3485.01,-0.348501,27.85,37.5031,,-0.00349
33,9506.09053,,,1.04E-09,,,,1039.19,0.103919,27.85,37.5031,,0.00104
34,9506.09154,,,6.48E-09,,,,6481.95,0.648195,27.85,37.5031,,0.00648
35,9506.09254,,,1.11E-08,,,,11051.2,1.10512,27.85,37.5031,,0.0111
36,9506.09354,,,1.29E-08,,,,12945.4,1.29454,27.85,37.5031,,0.0129
