Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9506.0558,,,3.30E-08,,1.00E+12,1.00E+08,-5151.36,-0.515136,27.85,150.0124,1.00E+06,0.0329726
1,9506.0568,,,3.34E-08,,,,1374.83,0.137483,27.85,150.0124,,0.0333701
2,9506.0578,,,3.45E-08,,,,6822.13,0.682213,27.85,150.0124,,0.0345321
3,9506.0588,,,3.63E-08,,,,10073.6,1.00736,27.85,150.0124,,0.0363114
4,9506.0598,,,3.85E-08,,,,10014.4,1.00144,27.85,150.0124,,0.0384981
5,9506.0608,,,4.09E-08,,,,6446.89,0.644689,27.85,150.0124,,0.0408816
6,9506.06181,,,4.33E-08,,,,1180.89,0.118089,27.85,150.0124,,0.0432505
7,9506.06281,,,4.54E-08,,,,-3717.76,-0.371776,27.85,150.0124,,0.0453923
8,9506.06381,,,4.71E-08,,,,-6211.13,-0.621113,27.85,150.0124,,0.0470935
9,9506.06481,,,4.81E-08,,,,-5484.58,-0.548458,27.85,150.0124,,0.0481403
10,9506.06581,,,4.84E-08,,,,-2751.73,-0.275173,27.85,150.0124,,0.0483983
11,9506.06681,,,4.80E-08,,,,582.845,0.0582845,27.85,150.0124,,0.0480013
12,9506.06781,,,4.71E-08,,,,3133.3,0.31333,27.85,150.0124,,0.0471417
13,9506.06882,,,4.60E-08,,,,4144.89,0.414489,27.85,150.0124,,0.046012
14,9506.06982,,,4.48E-08,,,,3515.55,0.351555,27.85,150.0124,,0.0448047
15,9506.07082,,,4.37E-08,,,,1176.85,0.117685,27.85,150.0124,,0.0437121
16,9506.07182,,,4.29E-08,,,,-2916.37,-0.291637,27.85,150.0124,,0.0429261
17,9506.07282,,,4.26E-08,,,,-8079.45,-0.807945,27.85,150.0124,,0.0426383
18,9506.07382,,,4.30E-08,,,,-12695.1,-1.26951,27.85,150.0124,,0.0430087
19,9506.07483,,,4.40E-08,,,,-15100.5,-1.51005,27.85,150.0124,,0.0440118
20,9506.07583,,,4.55E-08,,,,-13713.6,-1.37136,27.85,150.0124,,0.0455406
21,9506.07683,,,4.75E-08,,,,-8711.72,-0.871172,27.85,150.0124,,0.0474837
22,9506.07783,,,4.97E-08,,,,-2038.48,-0.203848,27.85,150.0124,,0.0497296
23,9506.07883,,,5.22E-08,,,,4268.57,0.426857,27.85,150.0124,,0.0521665
24,9506.07983,,,5.47E-08,,,,8251.87,0.825187,27.85,150.0124,,0.0546822
25,9506.08084,,,5.72E-08,,,,9409.61,0.940961,27.85,150.0124,,0.0571642
26,9506.08184,,,5.95E-08,,,,8337,0.8337,27.85,150.0124,,0.0595018
27,9506.08284,,,6.16E-08,,,,5673.36,0.567336,27.85,150.0124,,0.0616255
28,9506.08384,,,6.35E-08,,,,2072.81,0.207281,27.85,150.0124,,0.0635017
29,9506.08484,,,6.51E-08,,,,-1637.87,-0.163787,27.85,150.0124,,0.0651088
30,9506.08584,,,6.64E-08,,,,-4461.78,-0.446178,27.85,150.0124,,0.0664314
31,9506.08685,,,6.75E-08,,,,-5399.04,-0.539904,27.85,150.0124,,0.0674542
32,9506.08785,,,6.82E-08,,,,-3485.01,-0.348501,27.85,150.0124,,0.0681617
33,9506.08885,,,6.85E-08,,,,1039.19,0.103919,27.85,150.0124,,0.0685387
34,9506.08985,,,6.86E-08,,,,6481.95,0.648195,27.85,150.0124,,0.0685701
35,9506.09085,,,6.82E-08,,,,11051.2,1.10512,27.85,150.0124,,0.0682494
36,9506.09185,,,6.76E-08,,,,12945.4,1.29454,27.85,150.0124,,0.0676326
37,9506.09286,,,6.68E-08,,,,11369.3,1.13693,27.85,150.0124,,0.0668035
38,9506.09386,,,6.58E-08,,,,7623.86,0.762386,27.85,150.0124,,0.0658464
39,9506.09486,,,6.48E-08,,,,3268.95,0.326895,27.85,150.0124,,0.0648452
40,9506.09586,,,6.39E-08,,,,-146.187,-0.0146187,27.85,150.0124,,0.0638837
41,9506.09686,,,6.30E-08,,,,-1540.34,-0.154034,27.85,150.0124,,0.0630456
42,9506.09786,,,6.24E-08,,,,-1230.79,-0.123079,27.85,150.0124,,0.0624146
43,9506.09887,,,6.21E-08,,,,203.66,0.020366,27.85,150.0124,,0.0620742
44,9506.09987,,,6.21E-08,,,,2185.08,0.218508,27.85,150.0124,,0.0620892
45,9506.10087,,,6.24E-08,,,,4133.99,0.413399,27.85,150.0124,,0.0624421
46,9506.10187,,,6.31E-08,,,,5582.47,0.558247,27.85,150.0124,,0.0630939
47,9506.10287,,,6.40E-08,,,,6411.11,0.641111,27.85,150.0124,,0.0640054
48,9506.10387,,,6.51E-08,,,,6566.96,0.656696,27.85,150.0124,,0.0651326
49,9506.10488,,,6.64E-08,,,,5997.75,0.599775,27.85,150.0124,,0.0664257
50,9506.10588,,,6.78E-08,,,,4683.96,0.468396,27.85,150.0124,,0.0678342
51,9506.10688,,,6.93E-08,,,,2935.32,0.293532,27.85,150.0124,,0.0693073
52,9506.10788,,,7.08E-08,,,,1254.06,0.125406,27.85,150.0124,,0.0707944
53,9506.10888,,,7.22E-08,,,,143.247,0.0143247,27.85,150.0124,,0.0722453
54,9506.10988,,,7.36E-08,,,,105.136,0.0105136,27.85,150.0124,,0.0736379
55,9506.11089,,,7.50E-08,,,,1620.55,0.162055,27.85,150.0124,,0.0749887
