Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
67,9506.12607,,,3.23E-07,,,,3102.42,0.310242,27.85,300.0248,,0.323269
68,9506.12707,,,3.28E-07,,,,1736.97,0.173697,27.85,300.0248,,0.328192
69,9506.12807,,,3.33E-07,,,,1485.31,0.148531,27.85,300.0248,,0.333494
70,9506.12907,,,3.39E-07,,,,2385.05,0.238505,27.85,300.0248,,0.339214
71,9506.13007,,,3.45E-07,,,,3846.86,0.384686,27.85,300.0248,,0.345339
72,9506.13107,,,3.52E-07,,,,5200.14,0.520014,27.85,300.0248,,0.351806
73,9506.13207,,,3.59E-07,,,,5771.68,0.577168,27.85,300.0248,,0.358546
74,9506.13307,,,3.65E-07,,,,4892.03,0.489203,27.85,300.0248,,0.36549
75,9506.13408,,,3.73E-07,,,,2409.44,0.240944,27.85,300.0248,,0.372569
76,9506.13508,,,3.80E-07,,,,-867.437,-0.0867437,27.85,300.0248,,0.37971
77,9506.13608,,,3.87E-07,,,,-4028.21,-0.402821,27.85,300.0248,,0.386838
78,9506.13708,,,3.94E-07,,,,-6169.61,-0.616961,27.85,300.0248,,0.393875
79,9506.13808,,,4.01E-07,,,,-6393.67,-0.639367,27.85,300.0248,,0.400739
80,9506.13908,,,4.07E-07,,,,-4245.88,-0.424588,27.85,300.0248,,0.40735
81,9506.14008,,,4.14E-07,,,,-516.483,-0.0516483,27.85,300.0248,,0.413623
82,9506.14108,,,4.20E-07,,,,3784.82,0.378482,27.85,300.0248,,0.419522
83,9506.14209,,,4.25E-07,,,,7640.02,0.764002,27.85,300.0248,,0.425094
84,9506.14309,,,4.30E-07,,,,10023.1,1.00231,27.85,300.0248,,0.430399
85,9506.14409,,,4.35E-07,,,,10297.4,1.02974,27.85,300.0248,,0.435499
86,9506.14509,,,4.40E-07,,,,8976.15,0.897615,27.85,300.0248,,0.440454
87,9506.14609,,,4.45E-07,,,,6783.67,0.678367,27.85,300.0248,,0.445327
88,9506.14709,,,4.50E-07,,,,4443.77,0.444377,27.85,300.0248,,0.450179
89,9506.14809,,,4.55E-07,,,,2677.63,0.267763,27.85,300.0248,,0.455075
90,9506.14909,,,4.60E-07,,,,2200.52,0.220052,27.85,300.0248,,0.460078
91,9506.1501,,,4.65E-07,,,,3319.33,0.331933,27.85,300.0248,,0.465252
92,9506.1511,,,4.71E-07,,,,5575.17,0.557517,27.85,300.0248,,0.470661
93,9506.1521,,,4.76E-07,,,,8424.5,0.84245,27.85,300.0248,,0.476371
94,9506.1531,,,4.82E-07,,,,11321.6,1.13216,27.85,300.0248,,0.482407
95,9506.1541,,,4.89E-07,,,,13718,1.3718,27.85,300.0248,,0.488751
96,9506.1551,,,4.95E-07,,,,15124.2,1.51242,27.85,300.0248,,0.495384
97,9506.1561,,,5.02E-07,,,,15523.1,1.55231,27.85,300.0248,,0.502285
98,9506.1571,,,5.09E-07,,,,15117.1,1.51171,27.85,300.0248,,0.509426
99,9506.15811,,,5.17E-07,,,,14102.5,1.41025,27.85,300.0248,,0.516766
100,9506.15911,,,5.24E-07,,,,12665.1,1.26651,27.85,300.0248,,0.524265
101,9506.16011,,,5.32E-07,,,,10995.4,1.09954,27.85,300.0248,,0.531882
102,9506.16111,,,5.40E-07,,,,9413.78,0.941378,27.85,300.0248,,0.539574
103,9506.16211,,,5.47E-07,,,,8368.91,0.836891,27.85,300.0248,,0.547301
