trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,n_y_air,y_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self_296
10518470,2,3,9505.389519,1.39E-29,2.02E-05,463.724,69,71,463.724,       2 0 0 31,       0 0 0 01,0,     P 35e     ,0.0681,0.74,-0.012213,0,0.06698497,0.74,0,0,0,1,0,0,0,0.005418,0.084,0.61,-0.012477,0,0.13,0.61,0,0,0,1,0,0.006999
10929224,2,1,9505.440331,3.16E-29,3.00E-06,1216.3508,77,75,1216.3508,       4 0 0 21,       0 1 1 01,0,     R 37e     ,0.0676,0.75,-0.011438,0,0.066177969,0.75,0,0,0,1,0,0,0,0,0.082,0.6,-0.011866,0,0.133333333,0.6,0,0,0,1,0,0
10929225,2,1,9505.706359,1.15E-30,0.0001768,2370.8223,13,15,2370.8223,       2 0 0 41,       0 0 0 11,0,     P  7e     ,0.0822,0.68,-0.008942,0,0.0847078,0.68,0,0,0,1,0,0,0,0,0.112,0.7,-0.007973,0,0.1,0.7,0,0,0,1,0,0
10929226,2,1,9505.960025,1.29E-29,4.87E-05,1990.108,83,85,1990.108,       3 0 0 32,       1 0 0 02,0,     P 42e     ,0.067,0.75,-0.012834,0,0.066177969,0.75,0,0,0,1,0,0,0,0.004475,0.079,0.59,-0.013365,0,0.136666667,0.59,0,0,0,1,0,0.00537
10929227,2,1,9506.280369,2.46E-29,2.98E-06,1276.4474,81,79,1276.4474,       4 0 0 21,       0 1 1 01,0,     R 39e     ,0.0673,0.75,-0.011648,0,0.066177969,0.75,0,0,0,1,0,0,0,0,0.08,0.59,-0.012073,0,0.136666667,0.59,0,0,0,1,0,0
10929228,2,1,9506.309308,9.35E-26,0.0001081,60.8709,23,25,60.8709,       2 0 0 32,       0 0 0 01,0,     P 12e     ,0.0774,0.68,-0.009809,0,0.0847078,0.68,0,0,0,1,0,0,0,0.001245,0.105,0.69,-0.008991,0,0.103333333,0.69,0,0,0,1,0,0.001854
10518471,2,3,9506.656186,1.54E-29,2.03E-05,437.9715,67,69,437.9715,       2 0 0 31,       0 0 0 01,0,     P 34e     ,0.0683,0.74,-0.012122,0,0.06698497,0.74,0,0,0,1,0,0,0,0.005444,0.085,0.61,-0.012347,0,0.13,0.61,0,0,0,1,0,0.007098
