Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9352.56574,,,-5.15E-09,,1.00E+12,1.00E+08,-5151.36,-0.515136,34,7.84052,1.00E+06,0.001238
1,9352.56995,,,1.37E-09,,,,1374.83,0.137483,34,7.84052,,0.00154
2,9352.57395,,,6.82E-09,,,,6822.13,0.682213,34,7.84052,,0.001327
3,9352.57862,,,1.01E-08,,,,10073.6,1.00736,34,7.84052,,1.00E-03
4,9352.5828,,,1.00E-08,,,,10014.4,1.00144,34,7.84052,,9.15E-04
5,9352.58768,,,6.45E-09,,,,6446.89,0.644689,34,7.84052,,9.13E-04
6,9352.5916,,,1.18E-09,,,,1180.89,0.118089,34,7.84052,,9.55E-04
7,9352.59597,,,-3.72E-09,,,,-3717.76,-0.371776,34,7.84052,,6.42E-04
8,9352.60102,,,-6.21E-09,,,,-6211.13,-0.621113,34,7.84052,,0.001068
9,9352.60567,,,-5.48E-09,,,,-5484.58,-0.548458,34,7.84052,,0.001412
10,9352.61028,,,-2.75E-09,,,,-2751.73,-0.275173,34,7.84052,,0.001293
11,9352.61561,,,5.83E-10,,,,582.845,0.0582845,34,7.84052,,0.001162
12,9352.62026,,,3.13E-09,,,,3133.3,0.31333,34,7.84052,,0.001355
13,9352.62502,,,4.14E-09,,,,4144.89,0.414489,34,7.84052,,0.001439
14,9352.62945,,,3.52E-09,,,,3515.55,0.351555,34,7.84052,,0.001114
15,9352.63438,,,1.18E-09,,,,1176.85,0.117685,34,7.84052,,0.001543
16,9352.63937,,,-2.92E-09,,,,-2916.37,-0.291637,34,7.84052,,0.001303
17,9352.64463,,,-8.08E-09,,,,-8079.45,-0.807945,34,7.84052,,0.001511
18,9352.64953,,,-1.27E-08,,,,-12695.1,-1.26951,34,7.84052,,0.001105
19,9352.65422,,,-1.51E-08,,,,-15100.5,-1.51005,34,7.84052,,0.001326
20,9352.65965,,,-1.37E-08,,,,-13713.6,-1.37136,34,7.84052,,9.80E-04
21,9352.6648,,,-8.71E-09,,,,-8711.72,-0.871172,34,7.84052,,0.001445
22,9352.66977,,,-2.04E-09,,,,-2038.48,-0.203848,34,7.84052,,0.001647
23,9352.67488,,,4.27E-09,,,,4268.57,0.426857,34,7.84052,,0.001023
24,9352.67949,,,8.25E-09,,,,8251.87,0.825187,34,7.84052,,0.001426
25,9352.68517,,,9.41E-09,,,,9409.61,0.940961,34,7.84052,,0.00155
26,9352.68982,,,8.34E-09,,,,8337,0.8337,34,7.84052,,0.001215
27,9352.69557,,,5.67E-09,,,,5673.36,0.567336,34,7.84052,,0.001592
28,9352.70023,,,2.07E-09,,,,2072.81,0.207281,34,7.84052,,0.00167
29,9352.70617,,,-1.64E-09,,,,-1637.87,-0.163787,34,7.84052,,0.001396
30,9352.71158,,,-4.46E-09,,,,-4461.78,-0.446178,34,7.84052,,0.001263
31,9352.71707,,,-5.40E-09,,,,-5399.04,-0.539904,34,7.84052,,0.001326
32,9352.72212,,,-3.49E-09,,,,-3485.01,-0.348501,34,7.84052,,0.001518
33,9352.72784,,,1.04E-09,,,,1039.19,0.103919,34,7.84052,,0.001687
34,9352.73321,,,6.48E-09,,,,6481.95,0.648195,34,7.84052,,0.001056
35,9352.73872,,,1.11E-08,,,,11051.2,1.10512,34,7.84052,,0.00131
36,9352.74413,,,1.29E-08,,,,12945.4,1.29454,34,7.84052,,0.001343
37,9352.74937,,,1.14E-08,,,,11369.3,1.13693,34,7.84052,,0.001216
38,9352.75494,,,7.62E-09,,,,7623.86,0.762386,34,7.84052,,0.001347
39,9352.76026,,,3.27E-09,,,,3268.95,0.326895,34,7.84052,,0.001452
40,9352.76569,,,-1.46E-10,,,,-146.187,-0.0146187,34,7.84052,,0.001225
41,9352.77136,,,-1.54E-09,,,,-1540.34,-0.154034,34,7.84052,,9.56E-04
