Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9352.62451,,,-5.15E-09,,1.00E+12,1.00E+08,-5151.36,-0.515136,34,5.56567,1.00E+06,-1.63E-04
1,9352.62847,,,1.37E-09,,,,1374.83,0.137483,34,5.56567,,1.44E-04
2,9352.63298,,,6.82E-09,,,,6822.13,0.682213,34,5.56567,,-1.79E-04
3,9352.63752,,,1.01E-08,,,,10073.6,1.00736,34,5.56567,,9.66E-05
4,9352.64199,,,1.00E-08,,,,10014.4,1.00144,34,5.56567,,2.08E-04
5,9352.64666,,,6.45E-09,,,,6446.89,0.644689,34,5.56567,,-1.41E-04
6,9352.65068,,,1.18E-09,,,,1180.89,0.118089,34,5.56567,,-1.28E-04
7,9352.65595,,,-3.72E-09,,,,-3717.76,-0.371776,34,5.56567,,3.85E-04
8,9352.66064,,,-6.21E-09,,,,-6211.13,-0.621113,34,5.56567,,2.23E-04
9,9352.66533,,,-5.48E-09,,,,-5484.58,-0.548458,34,5.56567,,1.45E-04
10,9352.67023,,,-2.75E-09,,,,-2751.73,-0.275173,34,5.56567,,3.27E-04
11,9352.67494,,,5.83E-10,,,,582.845,0.0582845,34,5.56567,,4.19E-05
12,9352.67961,,,3.13E-09,,,,3133.3,0.31333,34,5.56567,,5.83E-04
13,9352.685,,,4.14E-09,,,,4144.89,0.414489,34,5.56567,,2.07E-04
14,9352.68933,,,3.52E-09,,,,3515.55,0.351555,34,5.56567,,1.45E-04
15,9352.69446,,,1.18E-09,,,,1176.85,0.117685,34,5.56567,,1.02E-04
16,9352.69952,,,-2.92E-09,,,,-2916.37,-0.291637,34,5.56567,,6.98E-04
17,9352.70408,,,-8.08E-09,,,,-8079.45,-0.807945,34,5.56567,,2.93E-04
18,9352.70933,,,-1.27E-08,,,,-12695.1,-1.26951,34,5.56567,,4.26E-04
