Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9352.04562,,,-5.15E-09,,1.00E+12,1.00E+08,-5151.36,-0.515136,34,14.3461,1.00E+06,0.002805
1,9352.05161,,,1.37E-09,,,,1374.83,0.137483,34,14.3461,,0.002621
2,9352.05763,,,6.82E-09,,,,6822.13,0.682213,34,14.3461,,0.003007
3,9352.06379,,,1.01E-08,,,,10073.6,1.00736,34,14.3461,,0.003364
4,9352.07008,,,1.00E-08,,,,10014.4,1.00144,34,14.3461,,0.003645
5,9352.07617,,,6.45E-09,,,,6446.89,0.644689,34,14.3461,,0.003506
6,9352.08248,,,1.18E-09,,,,1180.89,0.118089,34,14.3461,,0.003118
7,9352.08857,,,-3.72E-09,,,,-3717.76,-0.371776,34,14.3461,,0.00271
8,9352.09468,,,-6.21E-09,,,,-6211.13,-0.621113,34,14.3461,,0.002555
9,9352.10111,,,-5.48E-09,,,,-5484.58,-0.548458,34,14.3461,,0.00238
10,9352.10713,,,-2.75E-09,,,,-2751.73,-0.275173,34,14.3461,,0.002455
11,9352.11354,,,5.83E-10,,,,582.845,0.0582845,34,14.3461,,0.002317
12,9352.1201,,,3.13E-09,,,,3133.3,0.31333,34,14.3461,,0.002234
13,9352.12577,,,4.14E-09,,,,4144.89,0.414489,34,14.3461,,0.002232
14,9352.13206,,,3.52E-09,,,,3515.55,0.351555,34,14.3461,,0.002002
15,9352.13833,,,1.18E-09,,,,1176.85,0.117685,34,14.3461,,0.002303
16,9352.14488,,,-2.92E-09,,,,-2916.37,-0.291637,34,14.3461,,0.002033
17,9352.151,,,-8.08E-09,,,,-8079.45,-0.807945,34,14.3461,,0.002063
18,9352.15733,,,-1.27E-08,,,,-12695.1,-1.26951,34,14.3461,,0.002131
19,9352.16363,,,-1.51E-08,,,,-15100.5,-1.51005,34,14.3461,,0.002211
20,9352.16987,,,-1.37E-08,,,,-13713.6,-1.37136,34,14.3461,,0.002461
21,9352.17644,,,-8.71E-09,,,,-8711.72,-0.871172,34,14.3461,,0.002479
22,9352.18225,,,-2.04E-09,,,,-2038.48,-0.203848,34,14.3461,,0.002456
23,9352.18889,,,4.27E-09,,,,4268.57,0.426857,34,14.3461,,0.002354
24,9352.19519,,,8.25E-09,,,,8251.87,0.825187,34,14.3461,,0.002699
25,9352.20161,,,9.41E-09,,,,9409.61,0.940961,34,14.3461,,0.002315
26,9352.20754,,,8.34E-09,,,,8337,0.8337,34,14.3461,,0.002089
27,9352.21439,,,5.67E-09,,,,5673.36,0.567336,34,14.3461,,0.001908
28,9352.2209,,,2.07E-09,,,,2072.81,0.207281,34,14.3461,,0.002031
29,9352.22671,,,-1.64E-09,,,,-1637.87,-0.163787,34,14.3461,,0.002039
30,9352.2336,,,-4.46E-09,,,,-4461.78,-0.446178,34,14.3461,,0.001981
31,9352.23973,,,-5.40E-09,,,,-5399.04,-0.539904,34,14.3461,,0.002066
32,9352.246,,,-3.49E-09,,,,-3485.01,-0.348501,34,14.3461,,0.002009
33,9352.25247,,,1.04E-09,,,,1039.19,0.103919,34,14.3461,,0.001887
34,9352.25879,,,6.48E-09,,,,6481.95,0.648195,34,14.3461,,0.001852
35,9352.26536,,,1.11E-08,,,,11051.2,1.10512,34,14.3461,,0.001996
36,9352.27171,,,1.29E-08,,,,12945.4,1.29454,34,14.3461,,0.00195
37,9352.27823,,,1.14E-08,,,,11369.3,1.13693,34,14.3461,,0.001789
38,9352.2845,,,7.62E-09,,,,7623.86,0.762386,34,14.3461,,0.001866
39,9352.29098,,,3.27E-09,,,,3268.95,0.326895,34,14.3461,,0.001938
40,9352.29716,,,-1.46E-10,,,,-146.187,-0.0146187,34,14.3461,,0.001936
41,9352.30382,,,-1.54E-09,,,,-1540.34,-0.154034,34,14.3461,,0.001754
42,9352.31067,,,-1.23E-09,,,,-1230.79,-0.123079,34,14.3461,,0.001896
43,9352.31671,,,2.04E-10,,,,203.66,0.020366,34,14.3461,,0.001974
44,9352.32271,,,2.19E-09,,,,2185.08,0.218508,34,14.3461,,0.001721
45,9352.32934,,,4.13E-09,,,,4133.99,0.413399,34,14.3461,,0.001882
46,9352.33585,,,5.58E-09,,,,5582.47,0.558247,34,14.3461,,0.001751
47,9352.34212,,,6.41E-09,,,,6411.11,0.641111,34,14.3461,,0.001821
48,9352.34864,,,6.57E-09,,,,6566.96,0.656696,34,14.3461,,0.001994
49,9352.35485,,,6.00E-09,,,,5997.75,0.599775,34,14.3461,,0.001846
50,9352.36113,,,4.68E-09,,,,4683.96,0.468396,34,14.3461,,0.001928
51,9352.368,,,2.94E-09,,,,2935.32,0.293532,34,14.3461,,0.001905
52,9352.37454,,,1.25E-09,,,,1254.06,0.125406,34,14.3461,,0.001972
53,9352.38096,,,1.43E-10,,,,143.247,0.0143247,34,14.3461,,0.00199
54,9352.38744,,,1.05E-10,,,,105.136,0.0105136,34,14.3461,,0.001762
55,9352.39375,,,1.62E-09,,,,1620.55,0.162055,34,14.3461,,0.001816
56,9352.40039,,,4.59E-09,,,,4586.51,0.458651,34,14.3461,,0.001814
57,9352.40695,,,8.28E-09,,,,8276.78,0.827678,34,14.3461,,0.001909
58,9352.41345,,,1.19E-08,,,,11931,1.1931,34,14.3461,,0.001858
59,9352.41987,,,1.48E-08,,,,14783.2,1.47832,34,14.3461,,0.002132
60,9352.42628,,,1.62E-08,,,,16176.9,1.61769,34,14.3461,,0.00194
61,9352.43295,,,1.61E-08,,,,16148.1,1.61481,34,14.3461,,0.00189
62,9352.4395,,,1.50E-08,,,,14997.1,1.49971,34,14.3461,,0.001795
63,9352.44592,,,1.30E-08,,,,13025.9,1.30259,34,14.3461,,0.00167
64,9352.45247,,,1.05E-08,,,,10537.2,1.05372,34,14.3461,,0.001505
65,9352.45873,,,7.84E-09,,,,7836.55,0.783655,34,14.3461,,0.001709
66,9352.46558,,,5.25E-09,,,,5247.46,0.524746,34,14.3461,,0.001728
67,9352.47172,,,3.10E-09,,,,3102.42,0.310242,34,14.3461,,0.001836
68,9352.47797,,,1.74E-09,,,,1736.97,0.173697,34,14.3461,,0.001772
69,9352.48505,,,1.49E-09,,,,1485.31,0.148531,34,14.3461,,0.001677
